"Genotype","Environment","Rep","Block","Row","Col","GrainYield","PlantHeight","DaysToFlowering","TKW"
"G01","ENV1",1,"B1",1,1,5.96,97.2,57,44.4
"G02","ENV1",1,"B1",2,1,4.6,90.2,57,39.8
"G03","ENV1",1,"B1",3,1,4.33,84.9,61,36.1
"G04","ENV1",1,"B1",4,1,4.91,93.9,59,40.1
"G05","ENV1",1,"B1",5,1,4.28,80.8,62,35.8
"G06","ENV1",1,"B1",6,1,4.53,85.6,61,38.8
"G07","ENV1",1,"B1",7,1,4.26,90.8,63,38.6
"G08","ENV1",1,"B1",8,1,5.07,89,60,41.4
"G09","ENV1",1,"B1",9,1,5.21,89.2,64,39.8
"G10","ENV1",1,"B1",10,1,4.85,91,58,42.6
"G11","ENV1",1,"B1",1,2,4.49,83.5,61,37.1
"G12","ENV1",1,"B1",2,2,5.03,88.1,60,40.2
"G13","ENV1",1,"B1",3,2,4.42,99.7,60,40.4
"G14","ENV1",1,"B1",4,2,NA,83.4,61,36.6
"G15","ENV1",1,"B1",5,2,4.49,95.5,59,41.3
"G16","ENV1",1,"B1",6,2,4.8,81.7,61,39.4
"G17","ENV1",1,"B1",7,2,4.65,97.4,60,39.2
"G18","ENV1",1,"B1",8,2,3.75,87.5,62,38.7
"G19","ENV1",1,"B1",9,2,4.29,93,58,40.7
"G20","ENV1",1,"B1",10,2,4.65,86,63,38.2
"G01","ENV1",2,"B2",1,3,5.57,94.6,58,42
"G02","ENV1",2,"B2",2,3,4.69,100.1,57,40.4
"G03","ENV1",2,"B2",3,3,4.14,87,62,38
"G04","ENV1",2,"B2",4,3,5.06,88,59,40.1
"G05","ENV1",2,"B2",5,3,4.55,83.5,62,36.2
"G06","ENV1",2,"B2",6,3,4.91,93.6,59,39.8
"G07","ENV1",2,"B2",7,3,4.53,88.1,63,38.8
"G08","ENV1",2,"B2",8,3,5.15,88.7,60,40.3
"G09","ENV1",2,"B2",9,3,4.85,89.1,63,42.1
"G10","ENV1",2,"B2",10,3,5.3,91.9,61,40.2
"G11","ENV1",2,"B2",1,4,4.58,84.2,63,38.1
"G12","ENV1",2,"B2",2,4,5.76,89.6,61,39.5
"G13","ENV1",2,"B2",3,4,5.06,90.9,57,40.5
"G14","ENV1",2,"B2",4,4,4.19,86.5,63,34.9
"G15","ENV1",2,"B2",5,4,5.36,97,58,42.8
"G16","ENV1",2,"B2",6,4,4.78,88.1,65,37.7
"G17","ENV1",2,"B2",7,4,5.01,93.8,60,37.8
"G18","ENV1",2,"B2",8,4,3.69,88.1,61,36.6
"G19","ENV1",2,"B2",9,4,4.61,93.7,60,39.4
"G20","ENV1",2,"B2",10,4,4.92,87.4,63,38.6
"G01","ENV1",3,"B3",1,5,5.87,94.8,59,42.3
"G02","ENV1",3,"B3",2,5,4.55,87.8,60,39
"G03","ENV1",3,"B3",3,5,4.57,90.2,64,37.2
"G04","ENV1",3,"B3",4,5,5.12,94.3,59,39.7
"G05","ENV1",3,"B3",5,5,4.42,82.3,62,39.2
"G06","ENV1",3,"B3",6,5,4.96,92.4,60,40.3
"G07","ENV1",3,"B3",7,5,5.13,84.9,62,39.1
"G08","ENV1",3,"B3",8,5,5.64,90.2,58,42.1
"G09","ENV1",3,"B3",9,5,5.24,85.2,60,38.3
"G10","ENV1",3,"B3",10,5,5.5,97.3,59,38.6
"G11","ENV1",3,"B3",1,6,4.39,88.7,62,39.5
"G12","ENV1",3,"B3",2,6,5.34,92.9,62,42.1
"G13","ENV1",3,"B3",3,6,4.7,94.7,61,39.2
"G14","ENV1",3,"B3",4,6,4.1,87.1,64,36.8
"G15","ENV1",3,"B3",5,6,5.6,92.4,60,42.7
"G16","ENV1",3,"B3",6,6,4.42,88.4,61,39.2
"G17","ENV1",3,"B3",7,6,5.25,94,60,40.7
"G18","ENV1",3,"B3",8,6,3.96,86.9,62,37
"G19","ENV1",3,"B3",9,6,5.42,91.3,61,39.4
"G20","ENV1",3,"B3",10,6,5.03,83.6,61,38.1
"G01","ENV2",1,"B1",1,1,4.75,92.1,56,39.1
"G02","ENV2",1,"B1",2,1,3.74,85.1,57,39.5
"G03","ENV2",1,"B1",3,1,3.33,81.5,63,35.1
"G04","ENV2",1,"B1",4,1,4.25,82.9,59,41
"G05","ENV2",1,"B1",5,1,4.1,82,61,36.4
"G06","ENV2",1,"B1",6,1,4.01,82.2,59,37.6
"G07","ENV2",1,"B1",7,1,2.95,79.4,59,35.5
"G08","ENV2",1,"B1",8,1,4.99,89.1,57,40.3
"G09","ENV2",1,"B1",9,1,3.32,82.7,58,39
"G10","ENV2",1,"B1",10,1,3.97,89.2,56,38
"G11","ENV2",1,"B1",1,2,3.54,86.8,61,35.1
"G12","ENV2",1,"B1",2,2,4.23,78.1,59,37.8
"G13","ENV2",1,"B1",3,2,4.88,88.8,58,38.1
"G14","ENV2",1,"B1",4,2,3.16,75.7,61,35.3
"G15","ENV2",1,"B1",5,2,4.15,93.9,58,39.3
"G16","ENV2",1,"B1",6,2,3.48,81.6,61,36.3
"G17","ENV2",1,"B1",7,2,3.82,90.5,58,38.1
"G18","ENV2",1,"B1",8,2,3.65,87.8,61,36
"G19","ENV2",1,"B1",9,2,4.07,84,59,35.9
"G20","ENV2",1,"B1",10,2,3.53,81.3,59,36.3
"G01","ENV2",2,"B2",1,3,4.99,91.1,59,38.4
"G02","ENV2",2,"B2",2,3,3.58,90.5,57,36.2
"G03","ENV2",2,"B2",3,3,3.38,83.5,62,36.8
"G04","ENV2",2,"B2",4,3,5.06,83.4,59,40.5
"G05","ENV2",2,"B2",5,3,4.03,78.7,60,38.1
"G06","ENV2",2,"B2",6,3,3.72,82.3,59,38.3
"G07","ENV2",2,"B2",7,3,3.02,82.8,59,38.2
"G08","ENV2",2,"B2",8,3,5.03,89,61,39.2
"G09","ENV2",2,"B2",9,3,4.42,85.1,62,36.3
"G10","ENV2",2,"B2",10,3,4.34,87,58,37.9
"G11","ENV2",2,"B2",1,4,3.17,80.6,63,37.3
"G12","ENV2",2,"B2",2,4,4.03,84.8,59,38.8
"G13","ENV2",2,"B2",3,4,4.68,91.5,57,39.8
"G14","ENV2",2,"B2",4,4,3.33,82.3,61,35.5
"G15","ENV2",2,"B2",5,4,4.34,91.5,60,42.2
"G16","ENV2",2,"B2",6,4,4.07,85.9,58,35.3
"G17","ENV2",2,"B2",7,4,4.09,85.1,61,36.6
"G18","ENV2",2,"B2",8,4,3.77,88.3,57,37.1
"G19","ENV2",2,"B2",9,4,4.08,89.4,59,37.9
"G20","ENV2",2,"B2",10,4,3.7,77,60,37.8
"G01","ENV2",3,"B3",1,5,4.94,94.5,58,39.4
"G02","ENV2",3,"B3",2,5,3.54,85,57,37.7
"G03","ENV2",3,"B3",3,5,3.92,77.9,62,35.9
"G04","ENV2",3,"B3",4,5,4.55,86.3,58,39.6
"G05","ENV2",3,"B3",5,5,4.18,81.5,61,37.9
"G06","ENV2",3,"B3",6,5,4.41,80,58,37.1
"G07","ENV2",3,"B3",7,5,3.96,78.3,60,35.7
"G08","ENV2",3,"B3",8,5,5.09,85.4,58,40.9
"G09","ENV2",3,"B3",9,5,4.56,82.9,60,36.9
"G10","ENV2",3,"B3",10,5,4.96,91,63,37.4
"G11","ENV2",3,"B3",1,6,2.96,78.8,61,34.7
"G12","ENV2",3,"B3",2,6,4.2,80.2,57,36.6
"G13","ENV2",3,"B3",3,6,4.91,93.8,56,40.8
"G14","ENV2",3,"B3",4,6,3.04,79.4,60,34.2
"G15","ENV2",3,"B3",5,6,4.35,91.1,59,39.8
"G16","ENV2",3,"B3",6,6,3.54,77.8,57,34.7
"G17","ENV2",3,"B3",7,6,4.25,86.7,59,39.9
"G18","ENV2",3,"B3",8,6,3.93,NA,61,37.1
"G19","ENV2",3,"B3",9,6,3.78,83.7,59,37.7
"G20","ENV2",3,"B3",10,6,4.66,83.6,60,37.7
"G01","ENV3",1,"B1",1,1,4.94,91.2,55,39.4
"G02","ENV3",1,"B1",2,1,4.63,89.8,59,39.9
"G03","ENV3",1,"B1",3,1,3.98,89.4,59,39.2
"G04","ENV3",1,"B1",4,1,4.07,91.6,60,39.2
"G05","ENV3",1,"B1",5,1,3.36,81.6,63,37
"G06","ENV3",1,"B1",6,1,4.64,85.6,57,39.7
"G07","ENV3",1,"B1",7,1,3.42,85.9,63,35.3
"G08","ENV3",1,"B1",8,1,5.56,92.3,60,40.9
"G09","ENV3",1,"B1",9,1,3.76,87.7,59,38.2
"G10","ENV3",1,"B1",10,1,4.84,89,58,38.4
"G11","ENV3",1,"B1",1,2,3.87,84.2,60,37
"G12","ENV3",1,"B1",2,2,4.09,86.3,61,38.1
"G13","ENV3",1,"B1",3,2,5.46,96.3,59,40
"G14","ENV3",1,"B1",4,2,3.79,79.8,64,36.9
"G15","ENV3",1,"B1",5,2,5.26,92.5,55,38.8
"G16","ENV3",1,"B1",6,2,4.33,85.1,61,38.1
"G17","ENV3",1,"B1",7,2,4.8,86.2,61,39.2
"G18","ENV3",1,"B1",8,2,4.5,84.4,60,38.3
"G19","ENV3",1,"B1",9,2,3.45,87.4,59,37.3
"G20","ENV3",1,"B1",10,2,4.57,86.3,60,39.6
"G01","ENV3",2,"B2",1,3,5.1,88.4,60,39.3
"G02","ENV3",2,"B2",2,3,4.47,95.1,56,41
"G03","ENV3",2,"B2",3,3,4.14,79.2,58,38.4
"G04","ENV3",2,"B2",4,3,4.62,91.4,59,39.4
"G05","ENV3",2,"B2",5,3,3.37,86.4,64,35.5
"G06","ENV3",2,"B2",6,3,4.22,83.7,56,39.9
"G07","ENV3",2,"B2",7,3,3.74,83.8,59,38
"G08","ENV3",2,"B2",8,3,5.01,92.1,60,41.2
"G09","ENV3",2,"B2",9,3,4.31,82.6,62,37.2
"G10","ENV3",2,"B2",10,3,5.34,88.3,57,39.3
"G11","ENV3",2,"B2",1,4,3.62,81.3,60,36
"G12","ENV3",2,"B2",2,4,4.55,87.1,59,37.2
"G13","ENV3",2,"B2",3,4,5.33,90.1,59,41.2
"G14","ENV3",2,"B2",4,4,3.72,87.2,60,34.8
"G15","ENV3",2,"B2",5,4,5.26,94.8,54,41.5
"G16","ENV3",2,"B2",6,4,4.55,84.3,60,36.9
"G17","ENV3",2,"B2",7,4,5.09,90.8,58,39.5
"G18","ENV3",2,"B2",8,4,4.45,92.3,61,38.3
"G19","ENV3",2,"B2",9,4,4.43,93.8,59,38.3
"G20","ENV3",2,"B2",10,4,4.76,86.1,58,36.5
"G01","ENV3",3,"B3",1,5,5.03,92.9,58,41.1
"G02","ENV3",3,"B3",2,5,4.62,92,60,40.7
"G03","ENV3",3,"B3",3,5,4.94,86.1,63,39.1
"G04","ENV3",3,"B3",4,5,4.29,91.4,59,39.5
"G05","ENV3",3,"B3",5,5,3.4,84.8,61,35.7
"G06","ENV3",3,"B3",6,5,4.86,89.6,61,38.8
"G07","ENV3",3,"B3",7,5,3.95,89,61,38
"G08","ENV3",3,"B3",8,5,5.57,88.9,60,39.6
"G09","ENV3",3,"B3",9,5,4.85,85.7,60,37.9
"G10","ENV3",3,"B3",10,5,5.25,84.7,59,40.1
"G11","ENV3",3,"B3",1,6,4.11,82.6,61,39.4
"G12","ENV3",3,"B3",2,6,4.39,92.8,59,39
"G13","ENV3",3,"B3",3,6,5.71,90.7,58,42.1
"G14","ENV3",3,"B3",4,6,3.53,84.4,61,36.6
"G15","ENV3",3,"B3",5,6,5.61,98.5,58,41.4
"G16","ENV3",3,"B3",6,6,4.3,87,63,36.8
"G17","ENV3",3,"B3",7,6,5.19,92.3,58,38.2
"G18","ENV3",3,"B3",8,6,4.98,87.1,61,36.9
"G19","ENV3",3,"B3",9,6,NA,91.3,58,39.3
"G20","ENV3",3,"B3",10,6,4.75,88.3,60,41.5
"G01","ENV4",1,"B1",1,1,4.42,94.8,59,40.6
"G02","ENV4",1,"B1",2,1,5.24,95.6,57,39.8
"G03","ENV4",1,"B1",3,1,4.71,84,61,37.8
"G04","ENV4",1,"B1",4,1,5.69,91.2,62,40.5
"G05","ENV4",1,"B1",5,1,3.91,89.6,63,37
"G06","ENV4",1,"B1",6,1,5.08,95.5,64,39.6
"G07","ENV4",1,"B1",7,1,4.59,88.7,61,39.1
"G08","ENV4",1,"B1",8,1,6.33,85.6,60,42
"G09","ENV4",1,"B1",9,1,5.05,89.5,62,38.9
"G10","ENV4",1,"B1",10,1,5.21,95.6,61,42.2
"G11","ENV4",1,"B1",1,2,3.61,82.7,65,37.9
"G12","ENV4",1,"B1",2,2,4.62,87.5,60,40.8
"G13","ENV4",1,"B1",3,2,5.77,100.1,62,39.7
"G14","ENV4",1,"B1",4,2,4.11,86.4,63,33.3
"G15","ENV4",1,"B1",5,2,6.59,NA,60,42.5
"G16","ENV4",1,"B1",6,2,5.46,89.7,64,39.7
"G17","ENV4",1,"B1",7,2,5.69,90.6,62,39.1
"G18","ENV4",1,"B1",8,2,4.9,90.3,61,40.4
"G19","ENV4",1,"B1",9,2,5.66,94,58,39.7
"G20","ENV4",1,"B1",10,2,4.23,88.9,63,38.7
"G01","ENV4",2,"B2",1,3,5.06,98,58,38.9
"G02","ENV4",2,"B2",2,3,5.43,92.4,62,40
"G03","ENV4",2,"B2",3,3,5.07,90.2,61,39.9
"G04","ENV4",2,"B2",4,3,5.66,93.2,61,41.4
"G05","ENV4",2,"B2",5,3,4.26,85.4,63,36.6
"G06","ENV4",2,"B2",6,3,5.16,98.6,62,40.7
"G07","ENV4",2,"B2",7,3,5.14,87.2,64,42.1
"G08","ENV4",2,"B2",8,3,6.05,90.4,60,42.1
"G09","ENV4",2,"B2",9,3,5.69,87.7,59,40.2
"G10","ENV4",2,"B2",10,3,5.96,91.9,61,38.8
"G11","ENV4",2,"B2",1,4,3.76,87.9,60,37.6
"G12","ENV4",2,"B2",2,4,5.22,94.8,63,41.5
"G13","ENV4",2,"B2",3,4,5.58,99.6,58,40
"G14","ENV4",2,"B2",4,4,4.26,83.9,65,36.6
"G15","ENV4",2,"B2",5,4,6.43,100.4,60,43.9
"G16","ENV4",2,"B2",6,4,4.81,86.8,62,35.7
"G17","ENV4",2,"B2",7,4,5.36,87.7,61,40.6
"G18","ENV4",2,"B2",8,4,4.97,86.6,62,39.6
"G19","ENV4",2,"B2",9,4,5.22,91.9,58,37.6
"G20","ENV4",2,"B2",10,4,4.69,90.3,63,38.9
"G01","ENV4",3,"B3",1,5,5.24,95.9,59,42.2
"G02","ENV4",3,"B3",2,5,5.63,91.7,58,40.8
"G03","ENV4",3,"B3",3,5,4.87,85,63,38.9
"G04","ENV4",3,"B3",4,5,5.75,92.2,63,42.2
"G05","ENV4",3,"B3",5,5,4.18,90.3,65,36.7
"G06","ENV4",3,"B3",6,5,5.68,95.4,61,42.2
"G07","ENV4",3,"B3",7,5,5.28,87.5,63,38.3
"G08","ENV4",3,"B3",8,5,6.54,97.1,61,40.7
"G09","ENV4",3,"B3",9,5,5.72,93,NA,39.4
"G10","ENV4",3,"B3",10,5,6.19,97.2,59,38.6
"G11","ENV4",3,"B3",1,6,4.43,85.4,65,40.1
"G12","ENV4",3,"B3",2,6,5.35,91.9,60,39.3
"G13","ENV4",3,"B3",3,6,6.06,100.8,62,42.6
"G14","ENV4",3,"B3",4,6,3.81,89.2,64,41.6
"G15","ENV4",3,"B3",5,6,6.43,102.7,57,42.7
"G16","ENV4",3,"B3",6,6,5.02,91.4,62,38.9
"G17","ENV4",3,"B3",7,6,6.23,93.1,63,43.2
"G18","ENV4",3,"B3",8,6,5.52,90.5,61,39.4
"G19","ENV4",3,"B3",9,6,5.9,97.2,60,39.8
"G20","ENV4",3,"B3",10,6,5.07,94,61,40
"G01","ENV5",1,"B1",1,1,3.78,88.9,57,38.4
"G02","ENV5",1,"B1",2,1,3.77,87.2,58,39.7
"G03","ENV5",1,"B1",3,1,3.28,78.6,59,35.3
"G04","ENV5",1,"B1",4,1,4.03,86.3,58,NA
"G05","ENV5",1,"B1",5,1,2.9,81.7,59,35.8
"G06","ENV5",1,"B1",6,1,3.44,88.5,61,36.9
"G07","ENV5",1,"B1",7,1,3.22,85.5,59,35
"G08","ENV5",1,"B1",8,1,3.97,82.4,56,37.6
"G09","ENV5",1,"B1",9,1,4.26,83.2,57,34.4
"G10","ENV5",1,"B1",10,1,4.13,88.6,59,38.6
"G11","ENV5",1,"B1",1,2,3.59,74.9,60,35.7
"G12","ENV5",1,"B1",2,2,3.69,86.8,59,39.1
"G13","ENV5",1,"B1",3,2,4.59,91.4,53,41.5
"G14","ENV5",1,"B1",4,2,3.9,72.1,61,36.3
"G15","ENV5",1,"B1",5,2,5.06,92.3,54,40.5
"G16","ENV5",1,"B1",6,2,3.32,77.6,60,35.4
"G17","ENV5",1,"B1",7,2,4.04,84.5,56,37.4
"G18","ENV5",1,"B1",8,2,2.88,79.2,59,36
"G19","ENV5",1,"B1",9,2,4.25,91.6,58,39.5
"G20","ENV5",1,"B1",10,2,4.02,80.6,62,35.4
"G01","ENV5",2,"B2",1,3,3.3,88.3,57,36.9
"G02","ENV5",2,"B2",2,3,4.03,80.9,56,37.6
"G03","ENV5",2,"B2",3,3,3.02,84.4,58,36.5
"G04","ENV5",2,"B2",4,3,3.69,82.6,57,37.7
"G05","ENV5",2,"B2",5,3,2.89,82.5,61,33.6
"G06","ENV5",2,"B2",6,3,3.91,82.2,58,38.3
"G07","ENV5",2,"B2",7,3,3.57,82.3,60,36.7
"G08","ENV5",2,"B2",8,3,4.89,87.3,57,40
"G09","ENV5",2,"B2",9,3,4.18,80.1,59,39.3
"G10","ENV5",2,"B2",10,3,4.58,86.3,58,38.9
"G11","ENV5",2,"B2",1,4,3.26,75.1,59,35.9
"G12","ENV5",2,"B2",2,4,3.38,81,59,37.9
"G13","ENV5",2,"B2",3,4,4.61,87.1,55,40.5
"G14","ENV5",2,"B2",4,4,3.59,80.3,60,37.2
"G15","ENV5",2,"B2",5,4,5.25,94.7,56,42.4
"G16","ENV5",2,"B2",6,4,3.18,85.6,61,37.9
"G17","ENV5",2,"B2",7,4,4.11,81.5,58,38
"G18","ENV5",2,"B2",8,4,3.28,86.4,60,35.9
"G19","ENV5",2,"B2",9,4,4.49,85.7,58,38.9
"G20","ENV5",2,"B2",10,4,3.9,82.8,60,37.2
"G01","ENV5",3,"B3",1,5,4.16,87.7,59,39.3
"G02","ENV5",3,"B3",2,5,4.27,86.4,57,37.6
"G03","ENV5",3,"B3",3,5,3.34,78.6,60,36.9
"G04","ENV5",3,"B3",4,5,4.14,87.2,58,36.8
"G05","ENV5",3,"B3",5,5,3.14,77.6,61,37
"G06","ENV5",3,"B3",6,5,3.93,84.2,58,37.5
"G07","ENV5",3,"B3",7,5,3.22,84.9,61,37.1
"G08","ENV5",3,"B3",8,5,4.71,91.1,61,38.9
"G09","ENV5",3,"B3",9,5,4.35,82.8,56,36.2
"G10","ENV5",3,"B3",10,5,4.91,93.3,56,40.3
"G11","ENV5",3,"B3",1,6,3.5,73.8,61,37.3
"G12","ENV5",3,"B3",2,6,3.51,85.1,59,37.8
"G13","ENV5",3,"B3",3,6,4.7,92.4,57,39.1
"G14","ENV5",3,"B3",4,6,3,76.5,61,36
"G15","ENV5",3,"B3",5,6,5.21,91,57,39.8
"G16","ENV5",3,"B3",6,6,3.44,82.6,57,35.5
"G17","ENV5",3,"B3",7,6,4.49,84.9,60,36.9
"G18","ENV5",3,"B3",8,6,3.43,79.9,56,36.3
"G19","ENV5",3,"B3",9,6,4.52,88.7,61,37.2
"G20","ENV5",3,"B3",10,6,4.13,86.2,60,37.2
